frameno;frametime;cir_pos;color
2095;0.086138010025;"[(701.5, 348.5)]";"[0]"
2096;0.0883820056915;"[(724.5, 380.5), (112.5, 393.5)]";"[1, 1]"
2097;0.0866339206696;"[]";"[]"
2098;0.0875630378723;"[(701.5, 346.5), (105.5, 393.5)]";"[0, 1]"
2099;0.0785148143768;"[(701.5, 346.5), (498.5, 391.5)]";"[0, 1]"
2100;0.0528030395508;"[(701.5, 346.5)]";"[0]"
2101;0.050420999527;"[]";"[]"
2102;0.0656790733337;"[(701.5, 344.5)]";"[0]"
2103;0.066743850708;"[(701.5, 343.5), (479.5, 391.5)]";"[0, 1]"
2104;0.0543830394745;"[(700.5, 343.5), (38.5, 382.5), (81.5, 389.5)]";"[0, 0, 1]"
2105;0.0677270889282;"[(724.5, 379.5), (77.5, 390.5)]";"[1, 1]"
2106;0.0832970142365;"[]";"[]"
2107;0.081533908844;"[(724.5, 382.5), (69.5, 393.5)]";"[1, 1]"
2108;0.057480096817;"[(700.5, 346.5), (65.5, 393.5)]";"[0, 1]"
2109;0.0505471229553;"[(61.5, 393.5)]";"[1]"
2110;0.0767641067505;"[(701.5, 344.5), (56.5, 392.5), (686.5, 363.5)]";"[0, 1, 1]"
2111;0.0533971786499;"[(701.5, 343.5), (52.5, 390.5)]";"[0, 1]"
2112;0.0665390491486;"[(702.5, 339.5), (47.5, 390.5)]";"[0, 1]"
2113;0.0618498325348;"[(703.5, 343.5), (42.5, 389.5), (725.5, 377.5)]";"[0, 1, 1]"
2114;0.0629739761353;"[(702.5, 339.5), (345.5, 392.5), (686.5, 361.5)]";"[0, 0, 1]"
2115;0.0624690055847;"[(702.5, 339.5), (725.5, 379.5)]";"[0, 1]"
2116;0.0568399429321;"[(702.5, 340.5), (28.5, 391.5)]";"[0, 1]"
2117;0.0502870082855;"[(663.5, 343.5), (725.5, 380.5), (23.5, 392.5)]";"[0, 1, 1]"
2118;0.0708131790161;"[(700.5, 341.5), (725.5, 379.5), (485.5, 392.5)]";"[0, 1, 1]"
2119;0.0790419578552;"[(702.5, 339.5), (12.5, 390.5)]";"[0, 1]"
2120;0.0609829425812;"[(701.5, 337.5), (6.5, 388.5)]";"[0, 1]"
2121;0.0758199691772;"[(701.5, 337.5)]";"[0]"
