frameno;frametime;red_count;green_count;red_pos;green_pos
1198;0.0125091075897;0;1;"[]";"[(332.5, 116.5)]"
1199;0.0156271457672;0;2;"[]";"[(331.5, 118.5), (94.5, 108.5)]"
1200;0.0114850997925;0;2;"[]";"[(333.5, 117.5), (96.5, 107.5)]"
1201;0.0115418434143;0;1;"[]";"[(334.5, 119.5)]"
1202;0.0118951797485;0;2;"[]";"[(335.5, 119.5), (97.5, 108.5)]"
1203;0.0117611885071;0;1;"[]";"[(336.5, 117.5)]"
1204;0.0117301940918;0;1;"[]";"[(337.5, 116.5)]"
1205;0.0116450786591;0;1;"[]";"[(339.5, 119.5)]"
1206;0.0120820999146;0;1;"[]";"[(341.5, 121.5)]"
1207;0.00836992263794;0;1;"[]";"[(339.5, 119.5)]"
1208;0.37292599678;1;0;"[(109.5, 546.5)]";"[]"
1209;0.0093789100647;0;1;"[]";"[(331.5, 122.5)]"
1210;0.0114970207214;0;1;"[]";"[(331.5, 124.5)]"
1211;0.011794090271;0;1;"[]";"[(333.5, 125.5)]"
1212;0.44414806366;0;1;"[]";"[(333.5, 125.5)]"
1213;0.00833988189697;0;1;"[]";"[(333.5, 125.5)]"
1214;0.00722694396973;0;1;"[]";"[(334.5, 126.5)]"
1215;0.0108048915863;0;1;"[]";"[(333.5, 125.5)]"
1216;0.00804805755615;0;1;"[]";"[(333.5, 128.5)]"
1217;0.0113849639893;0;1;"[]";"[(332.5, 124.5)]"
1218;0.0116770267487;0;1;"[]";"[(329.5, 124.5)]"
1219;0.0109369754791;0;1;"[]";"[(328.5, 125.5)]"
1220;0.0114071369171;0;1;"[]";"[(330.5, 125.5)]"
1221;0.00804495811462;0;1;"[]";"[(330.5, 124.5)]"
1222;0.0122690200806;0;1;"[]";"[(329.5, 128.5)]"
1223;0.0110709667206;0;1;"[]";"[(331.5, 126.5)]"
1224;0.00810885429382;0;1;"[]";"[(332.5, 125.5)]"
1225;0.00671911239624;0;1;"[]";"[(335.5, 125.5)]"
1226;0.485966920853;0;1;"[]";"[(335.5, 125.5)]"
1227;0.00594401359558;0;1;"[]";"[(333.5, 126.5)]"
1228;0.010036945343;0;1;"[]";"[(337.5, 121.5)]"
1229;0.0124328136444;0;1;"[]";"[(334.5, 124.5)]"
1230;0.0125920772552;0;1;"[]";"[(331.5, 126.5)]"
1231;0.0123569965363;0;1;"[]";"[(332.5, 126.5)]"
1232;0.0124430656433;0;1;"[]";"[(330.5, 126.5)]"
1233;0.0126178264618;0;1;"[]";"[(328.5, 127.5)]"
1234;0.012571811676;0;1;"[]";"[(328.5, 128.5)]"
