frameno;frametime;recpoint;cir_pos;color
1745;0.0172629356384;"[319, 156, 871, 396]";"[(760, 277), (509, 265)]";"[1, 1]"
1746;0.0199871063232;"[319, 158, 871, 398]";"[(763, 278), (512, 264)]";"[1, 1]"
1747;0.0136659145355;"[320, 158, 872, 398]";"[(765, 278)]";"[1]"
1748;0.00881004333496;"[321, 158, 873, 398]";"[(765, 275)]";"[1]"
1749;0.0098090171814;"[322, 158, 874, 398]";"[(764, 273)]";"[1]"
1750;0.0128629207611;"[319, 159, 871, 399]";"[(760, 274), (509, 258)]";"[1, 1]"
1751;0.00889801979065;"[316, 160, 868, 400]";"[(757, 276), (507, 261)]";"[1, 1]"
1752;0.0090069770813;"[314, 161, 866, 401]";"[(758, 279)]";"[1]"
1753;0.00784397125244;"[312, 161, 864, 401]";"[(758, 283)]";"[1]"
1754;0.00918412208557;"[310, 161, 862, 401]";"[(759, 283), (509, 270)]";"[1, 1]"
1755;0.0115449428558;"[308, 162, 860, 402]";"[(760, 282)]";"[1]"
1756;0.00815892219543;"[308, 162, 860, 402]";"[(761, 283)]";"[1]"
1757;0.0077109336853;"[308, 163, 860, 403]";"[(761, 285)]";"[1]"
1758;0.00870418548584;"[308, 163, 860, 403]";"[(753, 287)]";"[1]"
1759;0.00978708267212;"[308, 163, 860, 403]";"[(750, 289), (498, 276)]";"[1, 1]"
1760;0.0119779109955;"[308, 163, 860, 403]";"[(748, 288), (496, 275)]";"[1, 1]"
1761;0.0128991603851;"[307, 163, 859, 403]";"[(745, 288)]";"[1]"
1762;0.0106070041656;"[307, 163, 859, 403]";"[(746, 289)]";"[1]"
1763;0.00905609130859;"[307, 163, 859, 403]";"[(745, 289)]";"[1]"
1764;0.00826501846313;"[307, 163, 859, 403]";"[(744, 291)]";"[1]"
1765;0.0110859870911;"[307, 164, 859, 404]";"[(746, 293), (493, 279)]";"[1, 1]"
1766;0.00803589820862;"[307, 164, 859, 404]";"[(745, 292)]";"[1]"
1767;0.00912404060364;"[308, 164, 860, 404]";"[(745, 292), (492, 280)]";"[1, 1]"
1768;0.00896191596985;"[310, 164, 862, 404]";"[(743, 293)]";"[1]"
