frameno;frametime;filtertime;radious;cir_pos;color
136;0.100224971771;0.00135898590088;"[5.7008772]";"[(417, 225)]";"[0]"
137;0.103530168533;0.00220108032227;"[6.6708322]";"[(675, 235)]";"[0]"
138;0.101374864578;0.00180411338806;"[6.6708322]";"[(674, 235)]";"[0]"
139;0.104124069214;0.00140404701233;"[6.3639612, 5.7008772]";"[(676, 237), (418, 221)]";"[0, 0]"
140;0.100853919983;0.00181198120117;"[6.6708322]";"[(679, 238)]";"[0]"
141;0.108101844788;0.00259184837341;"[5.7008772, 5.7008772]";"[(684, 239), (893, 381)]";"[0, 0]"
142;0.0980939865112;0.00143504142761;"[6.041523]";"[(683, 239)]";"[0]"
143;0.116456985474;0.00142598152161;"[6.3639612, 5.7008772]";"[(678, 237), (420, 223)]";"[0, 0]"
144;0.11757183075;0.00239396095276;"[7.905694]";"[(669, 235)]";"[0]"
145;0.12056183815;0.00144386291504;"[6.6708322, 5.7008772]";"[(666, 235), (409, 219)]";"[0, 0]"
146;0.103301048279;0.00165915489197;"[6.6708322, 6.6708322]";"[(408, 220), (664, 235)]";"[0, 0]"
147;0.0980381965637;0.00167202949524;"[6.5192022, 6.5192022]";"[(661, 236), (404, 220)]";"[0, 0]"
148;0.110432863235;0.00144791603088;"[6.041523, 5.7008772]";"[(655, 235), (397, 217)]";"[0, 0]"
149;0.120763063431;0.00152897834778;"[6.6708322, 5.7008772]";"[(650, 233), (391, 217)]";"[0, 0]"
150;0.124639034271;0.00154399871826;"[6.041523, 5.7008772]";"[(645, 237), (384, 220)]";"[0, 0]"
151;0.117001771927;0.00143909454346;"[6.6708322, 5.7008772]";"[(640, 239), (381, 223)]";"[0, 0]"
152;0.0999908447266;0.00135493278503;"[6.041523]";"[(637, 245)]";"[0]"
153;0.111804008484;0.00198197364807;"[6.6708322]";"[(634, 247)]";"[0]"
154;0.102350950241;0.00168299674988;"[6.041523, 6.6708322]";"[(631, 249), (371, 232)]";"[0, 0]"
155;0.101399183273;-1;"[]";"[]";"[]"
156;0.112848997116;0.00137305259705;"[6.041523, 5.7008772]";"[(625, 249), (363, 231)]";"[0, 0]"
157;0.0967688560486;0.00182890892029;"[5.7008772, 6.6708322]";"[(623, 248), (362, 232)]";"[0, 0]"
158;0.107352018356;0.00139999389648;"[6.041523, 5.7008772]";"[(623, 249), (361, 231)]";"[0, 0]"
159;0.117187023163;0.0014750957489;"[6.5192022, 5.7008772]";"[(626, 247), (837, 391)]";"[0, 0]"
160;0.115828037262;0.00151896476746;"[6.041523]";"[(629, 247)]";"[0]"
161;0.130887031555;0.0019679069519;"[6.6708322]";"[(630, 245)]";"[0]"
162;0.110164880753;0.00138401985168;"[6.6708322, 5.7008772]";"[(631, 244), (371, 228)]";"[0, 0]"
163;0.0899751186371;0.00171804428101;"[6.5192022]";"[(632, 242)]";"[0]"
164;0.105515956879;0.00187587738037;"[6.6708322]";"[(370, 225)]";"[0]"
165;0.120958089828;0.0019268989563;"[6.041523, 6.6708322]";"[(635, 239), (374, 223)]";"[0, 0]"
166;0.108510971069;0.00167202949524;"[6.5192022, 6.6708322]";"[(636, 237), (376, 221)]";"[0, 0]"
167;0.11506986618;0.00140404701233;"[6.3639612, 5.7008772]";"[(637, 233), (375, 218)]";"[0, 0]"
168;0.111526966095;0.00177693367004;"[6.6708322, 6.6708322]";"[(378, 215), (638, 232)]";"[0, 0]"
169;0.124428033829;0.00156688690186;"[6.041523, 5.7008772]";"[(639, 229), (377, 213)]";"[0, 0]"
170;0.119224786758;0.00152182579041;"[5.7008772, 5.7008772]";"[(379, 211), (853, 372)]";"[0, 0]"
171;0.110916137695;0.0019268989563;"[6.6708322]";"[(643, 226)]";"[0]"
172;0.121703863144;0.00185704231262;"[6.6708322, 6.6708322]";"[(647, 226), (388, 210)]";"[0, 0]"
