frameno;frametime;red_count;green_count;red_pos;green_pos
644;0.097776889801;2;0;"[[710.5, 245.5], [920.5, 388.5]]";"[]"
645;0.10530090332;2;0;"[[711.5, 241.5], [458.5, 230.5]]";"[]"
646;0.137568950653;2;0;"[[713.5, 232.5], [460.5, 222.5]]";"[]"
647;0.119269132614;1;0;"[[715.5, 227.5]]";"[]"
648;0.108955860138;2;0;"[[715.5, 221.5], [462.5, 212.5]]";"[]"
649;0.126929044724;2;0;"[[717.5, 220.5], [926.5, 360.5]]";"[]"
650;0.113390922546;3;0;"[[717.5, 218.5], [929.5, 357.5], [464.5, 207.5]]";"[]"
651;0.088005065918;2;0;"[[718.5, 215.5], [465.5, 206.5]]";"[]"
652;0.0875890254974;2;0;"[[468.5, 203.5], [721.5, 211.5]]";"[]"
653;0.0884091854095;1;0;"[[721.5, 207.5]]";"[]"
654;0.111724853516;2;0;"[[721.5, 205.5], [468.5, 195.5]]";"[]"
655;0.106294870377;3;0;"[[720.5, 200.5], [466.5, 192.5], [931.5, 341.5]]";"[]"
656;0.111396074295;2;0;"[[466.5, 191.5], [719.5, 201.5]]";"[]"
657;0.122543811798;1;0;"[[466.5, 189.5]]";"[]"
658;0.089684009552;2;0;"[[720.5, 197.5], [931.5, 335.5]]";"[]"
659;0.112063884735;1;0;"[[718.5, 193.5]]";"[]"
660;0.111379861832;2;0;"[[464.5, 180.5], [719.5, 189.5]]";"[]"
661;0.0893561840057;0;0;"[]";"[]"
662;0.114742994308;1;0;"[[717.5, 183.5]]";"[]"
663;0.0916111469269;1;0;"[[717.5, 181.5]]";"[]"
664;0.11243891716;1;0;"[[717.5, 176.5]]";"[]"
665;0.111927032471;1;0;"[[717.5, 172.5]]";"[]"
666;0.0874869823456;1;0;"[[717.5, 169.5]]";"[]"
667;0.0879559516907;2;0;"[[716.5, 163.5], [458.5, 152.5]]";"[]"
668;0.104572057724;2;0;"[[460.5, 147.5], [717.5, 159.5]]";"[]"
669;0.107154130936;1;0;"[[714.5, 155.5]]";"[]"
670;0.111353158951;1;0;"[[713.5, 149.5]]";"[]"
671;0.11016201973;2;0;"[[456.5, 129.5], [713.5, 138.5]]";"[]"
672;0.11575293541;2;0;"[[452.5, 123.5], [713.5, 135.5]]";"[]"
673;0.107471942902;2;0;"[[452.5, 119.5], [712.5, 130.5]]";"[]"
674;0.107192993164;2;0;"[[450.5, 116.5], [711.5, 127.5]]";"[]"
675;0.106570005417;1;0;"[[709.5, 119.5]]";"[]"
676;0.109393835068;2;0;"[[707.5, 113.5], [448.5, 101.5]]";"[]"
677;0.113336086273;2;0;"[[705.5, 109.5], [447.5, 97.5]]";"[]"
678;0.106945037842;1;0;"[[704.5, 107.5]]";"[]"
679;0.105350017548;2;0;"[[444.5, 90.5], [702.5, 102.5]]";"[]"
680;0.103808879852;2;0;"[[444.5, 87.5], [702.5, 100.5]]";"[]"
681;0.106920003891;1;0;"[[702.5, 98.5]]";"[]"
682;0.110605955124;2;0;"[[445.5, 83.5], [703.5, 96.5]]";"[]"
683;0.112243175507;2;0;"[[444.5, 82.5], [704.5, 94.5]]";"[]"
684;0.110239028931;1;0;"[[703.5, 92.5]]";"[]"
685;0.0944211483002;0;0;"[]";"[]"
686;0.11035490036;0;2;"[]";"[[445.5, 110.5], [704.5, 124.5]]"
687;0.111639022827;0;2;"[]";"[[705.5, 120.5], [443.5, 107.5]]"
688;0.0886249542236;0;1;"[]";"[[705.5, 117.5]]"
689;0.115878820419;0;2;"[]";"[[441.5, 100.5], [703.5, 115.5]]"
690;0.0877530574799;0;2;"[]";"[[703.5, 112.5], [441.5, 97.5]]"
691;0.108632087708;0;2;"[]";"[[703.5, 107.5], [440.5, 93.5]]"
692;0.0873420238495;0;2;"[]";"[[702.5, 102.5], [440.5, 88.5]]"
693;0.109658956528;0;1;"[]";"[[703.5, 96.5]]"
694;0.109618902206;0;2;"[]";"[[703.5, 88.5], [439.5, 73.5]]"
695;0.107341051102;0;2;"[]";"[[701.5, 82.5], [439.5, 68.5]]"
696;0.1047539711;0;2;"[]";"[[702.5, 79.5], [438.5, 65.5]]"
697;0.111835002899;0;2;"[]";"[[439.5, 63.5], [701.5, 77.5]]"
698;0.111532926559;0;2;"[]";"[[703.5, 75.5], [439.5, 60.5]]"
699;0.110016822815;0;2;"[]";"[[704.5, 73.5], [441.5, 59.5]]"
700;0.0874869823456;0;2;"[]";"[[705.5, 72.5], [442.5, 58.5]]"
701;0.110898017883;0;2;"[]";"[[705.5, 73.5], [443.5, 58.5]]"
702;0.0998768806458;0;1;"[]";"[[706.5, 71.5]]"
703;0.0892961025238;0;2;"[]";"[[444.5, 56.5], [708.5, 70.5]]"
704;0.108346939087;0;1;"[]";"[[707.5, 70.5]]"
705;0.113887786865;0;1;"[]";"[[707.5, 67.5]]"
706;0.103309869766;0;1;"[]";"[[707.5, 65.5]]"
707;0.10772395134;0;2;"[]";"[[707.5, 64.5], [444.5, 50.5]]"
708;0.0943138599396;0;2;"[]";"[[707.5, 63.5], [444.5, 49.5]]"
709;0.1066198349;0;2;"[]";"[[707.5, 63.5], [444.5, 49.5]]"
710;0.10638999939;0;1;"[]";"[[708.5, 60.5]]"
711;0.0945129394531;0;1;"[]";"[[709.5, 59.5]]"
712;0.0949640274048;0;2;"[]";"[[709.5, 56.5], [445.5, 43.5]]"
713;0.11448097229;0;1;"[]";"[[708.5, 55.5]]"
714;0.119160890579;0;2;"[]";"[[708.5, 56.5], [444.5, 41.5]]"
715;0.113197088242;0;1;"[]";"[[708.5, 54.5]]"
716;0.10809803009;0;1;"[]";"[[709.5, 55.5]]"
717;0.10872387886;0;2;"[]";"[[447.5, 43.5], [711.5, 56.5]]"
718;0.0889060497284;0;2;"[]";"[[711.5, 55.5], [447.5, 42.5]]"
719;0.0983819961548;0;1;"[]";"[[711.5, 55.5]]"
720;0.112518072128;0;1;"[]";"[[711.5, 55.5]]"
