frameno;frametime;recpoint;cir_pos;color
4497;0.019623041153;"[43, 224, 793, 464]";"[(361, 305), (559, 331)]";"[0, 0]"
4498;0.0195407867432;"[43, 225, 793, 465]";"[(558, 332)]";"[0]"
4499;0.0213799476624;"[44, 226, 794, 466]";"[(556, 330), (359, 304)]";"[0, 0]"
4500;0.015575170517;"[46, 227, 796, 467]";"[(351, 302), (551, 328)]";"[0, 0]"
4501;0.016744852066;"[47, 227, 797, 467]";"[(542, 333), (344, 305)]";"[0, 0]"
4502;0.0124778747559;"[47, 227, 797, 467]";"[(346, 309), (544, 336)]";"[0, 0]"
4503;0.0140779018402;"[48, 227, 798, 467]";"[(357, 308)]";"[0]"
4504;0.0225429534912;"[47, 225, 797, 465]";"[(565, 339), (368, 313)]";"[0, 0]"
4505;0.0181257724762;"[48, 224, 798, 464]";"[(373, 309), (570, 336)]";"[0, 0]"
4506;0.0199511051178;"[48, 223, 798, 463]";"[(369, 304), (566, 333)]";"[0, 0]"
4507;0.019425868988;"[48, 222, 798, 462]";"[(365, 303)]";"[0]"
4508;0.0147848129272;"[48, 222, 798, 462]";"[(369, 303), (565, 331)]";"[0, 0]"
4509;0.01726603508;"[49, 221, 799, 461]";"[(570, 327)]";"[0]"
4510;0.014799118042;"[49, 219, 799, 459]";"[(569, 326), (371, 297)]";"[0, 0]"
4511;0.0205850601196;"[48, 217, 798, 457]";"[(567, 327), (371, 299)]";"[0, 0]"
4512;0.0142650604248;"[48, 216, 798, 456]";"[(570, 324)]";"[0]"
4513;0.0169332027435;"[47, 213, 797, 453]";"[(374, 295), (573, 323)]";"[0, 0]"
4514;0.0157029628754;"[47, 209, 797, 449]";"[(570, 320), (372, 291)]";"[0, 0]"
4515;0.0182938575745;"[46, 207, 796, 447]";"[(567, 317), (369, 289)]";"[0, 0]"
4516;0.0203161239624;"[47, 208, 797, 448]";"[(564, 316), (367, 289)]";"[0, 0]"
4517;0.014475107193;"[49, 208, 799, 448]";"[(367, 282), (564, 309)]";"[0, 0]"
4518;0.0122420787811;"[50, 208, 800, 448]";"[(559, 302), (361, 275)]";"[0, 0]"
4519;0.0108840465546;"[50, 210, 800, 450]";"[(554, 303), (355, 276)]";"[0, 0]"
4520;0.0105159282684;"[50, 213, 800, 453]";"[(359, 281), (557, 307)]";"[0, 0]"
4521;0.013689994812;"[50, 214, 800, 454]";"[(568, 305)]";"[0]"
4522;0.0209188461304;"[50, 214, 800, 454]";"[(579, 301)]";"[0]"
4523;0.0219459533691;"[49, 214, 799, 454]";"[(580, 307), (385, 280)]";"[0, 0]"
4524;0.0190269947052;"[49, 214, 799, 454]";"[(382, 284)]";"[0]"
4525;0.0194561481476;"[49, 214, 799, 454]";"[(575, 311)]";"[0]"
4526;0.0199091434479;"[50, 215, 800, 455]";"[(570, 311), (375, 283)]";"[0, 0]"
4527;0.0217468738556;"[50, 216, 800, 456]";"[(568, 311), (372, 282)]";"[0, 0]"
4528;0.0180220603943;"[50, 218, 800, 458]";"[(372, 277)]";"[0]"
4529;0.0161440372467;"[50, 220, 800, 460]";"[(568, 307)]";"[0]"
4530;0.0216798782349;"[50, 221, 800, 461]";"[(377, 285), (573, 313)]";"[0, 0]"
4531;0.0140590667725;"[50, 220, 800, 460]";"[(576, 316), (382, 289)]";"[0, 0]"
4532;0.0111110210419;"[50, 220, 800, 460]";"[(577, 320), (381, 293)]";"[0, 0]"
4533;0.0171589851379;"[50, 218, 800, 458]";"[(585, 322), (391, 294)]";"[0, 0]"
4534;0.0143268108368;"[50, 217, 800, 457]";"[(597, 325)]";"[0]"
4535;0.0139150619507;"[50, 217, 800, 457]";"[(602, 325)]";"[0]"
4536;0.0171689987183;"[50, 218, 800, 458]";"[(601, 320)]";"[0]"
4537;0.0174331665039;"[50, 220, 800, 460]";"[(603, 315), (409, 288)]";"[0, 0]"
4538;0.0214691162109;"[50, 223, 800, 463]";"[(607, 317), (413, 289)]";"[0, 0]"
4539;0.0217161178589;"[50, 225, 800, 465]";"[(605, 315), (412, 288)]";"[0, 0]"
4540;0.0977809429169;"[49, 225, 799, 465]";"[(605, 315), (412, 288)]";"[0, 0]"
4541;0.0110580921173;"[47, 224, 797, 464]";"[(582, 319)]";"[0]"
4542;0.0197479724884;"[47, 226, 797, 466]";"[(575, 322), (380, 294)]";"[0, 0]"
4543;0.0210909843445;"[47, 231, 797, 471]";"[(568, 324), (373, 295)]";"[0, 0]"
4544;0.0194270610809;"[47, 236, 797, 476]";"[(362, 291)]";"[0]"
4545;0.0875859260559;"[48, 728, 798, 968]";"[(362, 291)]";"[0]"
4546;0.047150850296;"[49, 833, 799, 1073]";"[(362, 291)]";"[0]"
4547;0.0427730083466;"[50, 939, 800, 1080]";"[(362, 291)]";"[0]"
4548;0.0370409488678;"[50, 980, 800, 1080]";"[(362, 291)]";"[0]"
4549;0.0420999526978;"[50, 973, 800, 1080]";"[(362, 291)]";"[0]"
4550;0.0490670204163;"[50, 967, 800, 1080]";"[(362, 291)]";"[0]"
4551;0.0590999126434;"[50, 948, 800, 1080]";"[(362, 291)]";"[0]"
4552;0.0731019973755;"[50, 788, 800, 1028]";"[(362, 291)]";"[0]"
4553;0.0772540569305;"[50, 627, 800, 867]";"[(565, 371), (369, 343)]";"[0, 0]"
4554;0.0250270366669;"[249, 0, 685, 268]";"[(570, 369), (375, 341)]";"[0, 0]"
4555;0.0101678371429;"[107, 220, 542, 488]";"[(379, 339)]";"[0]"
4556;0.0114591121674;"[107, 218, 542, 486]";"[(377, 334)]";"[0]"
4557;0.025780916214;"[107, 217, 542, 485]";"[(568, 356)]";"[0]"
